indian, nikis indian food, chicken pita wrap, lamb curry, chicken tikka masala, banana squash, chicken curry, lentil soup, potato curry, naan, garlic naan, pea soup, mushroom soup, lentil soup, spinach, raita, mango lassi, chai tea, soda
indian, punjabi tandoor - irvine, chana samosa, paneer pakora, chicken pakora, onion bhaji, vegetable pakora, shrimp curry, shrimp saag, shrimp masala, shrimp vindalu, seekh kebab, chicken tikka masala, chicken tandoori, chicken curry, lamb curry, lamb vindaloo, chicken biryani, lamb biryani, mango lassi, chai tea, gulab jamun, kheer
thai, Siam Station, chicken satay, crab fried rice, pad thai, thai boat noodles, tom yum soup
thai, Nara Thai Kitchen, green curry, pad see ew, shrimp in tamarind sauce, filet mignon pepper steak, tom kha soup
thai, Thai Cafe, mango sticky rice, pad kee mao, papaya salad, yellow curry, chicken fried rice 
thai, Hanuman Thai Eatery, yellowtail cevice, tom yum koong, pad kee mao, thai fried rice, sweet and sour salmon
thai, Thai Favorite Cuisine, filet mignon skewers, pineapple fried rice, garlic pepper chicken, stir-fried broccoli, red curry
thai, Thai Chaiyo, pork shu mai, crispy egg rolls, pad woon sen, roasted duck in red curry, thai sausage and BBQ pork with rice
thai, Thai Kitchen, vegetarian Thai spring rolls, poh tack (spicy seafood hot & sour soup), ginger pork, lemongrass pork, fried fish filet with Thai chili sauce
thai, Thai Street Food by George, Thai chicken quesadillas, beef satay, tom yum talay, roast duck noodle soup, drunken noodles
thai, Plern Thai Cafe, crispy chive cake, salmon lemongrass soup, fried chicken lemongrass salad, braised beef yellow curry, stir fried wagyu with basil
thai, The Wheel of Life Vegetarian Thai Cuisine, orange chicken, fried tofu with sweet & sour sauce, Thai chicken salad, teriyaki tofu, beef and broccoli
japanese, Izakaya Osen, salmon ikura don, udon, chicken heart skewer, miso soup, chicken karaage
japanese, Maji Curry, chicken cutlet curry, beef curry, sausage curry, vegetable curry, eggplant curry
japanese, Taiko, takoyaki, fried oysters, grilled mackerel, baked green mussels, shrimp tempura udon 
japanese, Izakaya Habuya Okinawan Dining, pork belly ramen, spicy miso ramen, grilled squid, uni pasta, fried soft-shell crab
japanese, Fukada, katsu don, unagi don, salmon skin salad, seared albacore with pepper onion sauce, spicy rock shrimp
japanese, Hako, cheese tonkatsu, fish katsu, potato croquettes, spicy tuna roll, agedashi tofu 
japanese, Tomikawa Japanese Restaurant, tuna carpaccio, sauteee shishito peppers, udon with shrimp & vegetable tempura, rainbow roll, garlic chili edamame 
japanese, Tabi-Ji Japanese Cuisine, chicken teriyaki, shrimp tempura, california roll, hibachi scallops, lemon garlic chicken 
japanese, Ohshima Japanese Cuisine, garlic butter clams, lobster hand roll, tuna roll, halibut carpaccio with oba leaf, abalone sashimi 
japanese, Meiji Seimen, shabu shabu udon, braised pork belly (kakuni), fried chicken (karaage), pork loin cutlet, grilled beef tongue
